ltmc,ltm_detail,hit_num,url,referrer,cid_v0,native_v10,user_agent_v96,clean_url_v33,mc_inst,visits,cid_v0_inst,native_v10_inst,clean_url_v33_inst
Email,em:kr:bz:res:nat:onboarding:mar:df:standard-standard:mr:Jun23:2022,61,"","",web:hs:ser:res:sep24,yes,"Mozilla/5.0 (Linux; Android 15; SM-G996B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/139.0.7258.94 Mobile Safari/537.36 Mozilla/5.0 (Linux; Android 15; SM-G996B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (",https://www.originenergy.com.au/my/billing/,0,1,0,1,1
Origin App,None,12,"","","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/service/electricity/682141/plan,0,1,0,1,1
Origin App,None,14,https://www.originenergy.com.au/my/make-payment/A-283AC9A8/success,"","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/make-payment/A-283AC9A8/success,0,1,0,1,1
Origin App,None,7,https://www.originenergy.com.au/my/billing/A-D2B0A863/summary/106620606,"","",yes,"Mozilla/5.0 (Linux; Android 15; SM-S711B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.181 Mobile Safari/537.36 Mozilla/5.0 (Linux; Android 15; SM-S711B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36",https://www.originenergy.com.au/my/billing/A-D2B0A863/summary/106620606,0,1,0,1,1
Paid Search,Electricity & Gas,2,"","","",no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",https://www.originenergy.com.au/my/make-payment,0,1,0,1,1
Origin App,None,24,"","","",yes,"Mozilla/5.0 (Linux; Android 15; SM-A546E Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/139.0.7258.94 Mobile Safari/537.36 Mozilla/5.0 (Linux; Android 15; SM-A546E Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (",https://www.originenergy.com.au/my/,0,1,0,1,1
Direct,None,4,"","","",yes,"Mozilla/5.0 (Linux; Android 13; SM-G781B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/139.0.7258.94 Mobile Safari/537.36 Mozilla/5.0 (Linux; Android 13; SM-G781B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML,",https://www.originenergy.com.au/my/make-payment/A-C40252E1/select-payment-method,0,1,0,1,1
Natural Search,n:Google:::empty::,16,https://www.originenergy.com.au,https://www.google.com/,"",no,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",https://www.originenergy.com.au/,0,1,0,1,1
Paid Search,Electricity & Gas,9,"",https://www.google.com/,?ps:re:brandvic_gef_id=Cj0KCQjw5JXFBhCrARIsAL1ckPslEA3gbrwQY5r6SVA8P4L650VuoCP8Ac-t7xTtytyDRtoGdDEUSXUaAnGUEALw_wcB:G:s&s_kwcid=AL!4533!3!617179502804!e!!g!!origin energy&gclsrc=aw.ds&gad_source=1&gad_campaignid=12462545222&gbraid=0AAAAAD3YqiG-O-rXS4j3nrA,no,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/382.0.794785026 Mobile/15E148 Safari/604.1",https://www.originenergy.com.au/electricity-gas/plans.html,0,1,0,1,1
Paid Search,Electricity & Gas,113,https://www.originenergy.com.au/for-home/my-account/logout,https://www.google.com/,ps:re:NATBAU:gl,no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",https://www.originenergy.com.au/for-home/my-account/logout/,0,1,0,1,1
Origin App,www.originenergy.com.au/my/self-meter-read,3,"","","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",https://www.originenergy.com.au/my/self-meter-read,0,1,0,1,1
Natural Search,n:Google:::empty::,38,"",https://www.google.com/,"",no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",https://www.originenergy.com.au/help-support,0,1,0,1,1
Email,em:kr:ser:res:sep24:PAYMENT-MISSED-INSTALMENT-REMINDER,4,"","","",yes,Mozilla/5.0 (iPhone; CPU OS 18_6 like Mac OS X; en-AU),"",0,1,0,1,0
Origin App,None,3,https://www.originenergy.com.au/my/make-payment/A-6A0BC5EC,"","",yes,"Mozilla/5.0 (Linux; Android 15; SM-A566B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/139.0.7258.94 Mobile Safari/537.36 Mozilla/5.0 (Linux; Android 15; SM-A566B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (",https://www.originenergy.com.au/my/make-payment/A-6A0BC5EC,0,1,0,1,1
Internal,originenergy:internet:plans,16,https://www.originenergy.com.au/for-home/electricity-and-gas/info/find-my-distributor,"","",no,Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0,https://www.originenergy.com.au/for-home/electricity-and-gas/info/find-my-distributor/,0,1,0,1,1
Natural Search,n:Google:::empty::,64,"",https://www.google.com/,"",no,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",https://www.originenergy.com.au/my/,0,1,0,1,1
Paid Search,Electricity & Gas,8,https://www.originenergy.com.au/help-support/billing-and-payments/refund-transfer-or-credits,https://www.google.com/,ps:re:NATBAU:gl,no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",https://www.originenergy.com.au/help-support/billing-and-payments/refund-transfer-or-credits,0,1,0,1,1
Direct,None,1,"","","",yes,Mozilla/5.0 (iPad; CPU OS 16_6 like Mac OS X; en-AU),"",0,1,0,1,0
Origin App,None,29,https://www.originenergy.com.au/my/make-payment/A-036FE46B/select-payment-method,"","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_11 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_11 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/make-payment/A-036FE46B/select-payment-method,0,1,0,1,1
Origin App,None,10,"","","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/make-payment/A-F659BFFC/confirm,0,1,0,1,1
Origin App,None,22,"","","",yes,Mozilla/5.0 (iPhone; CPU OS 18_3_2 like Mac OS X; en-NZ),"",0,1,0,1,0
Email,em:kraken:ebill,15,"",https://mail.qq.com/,"",no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf254100e) XWEB/16283 Flue",https://www.originenergy.com.au/my/make-payment/A-2151EA06/confirm,0,1,0,1,1
Origin App,None,11,https://www.originenergy.com.au/my,android-app://com.originmobileapp/,"",yes,"Mozilla/5.0 (Linux; Android 16; Pixel 8 Pro Build/BP2A.250805.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.181 Mobile Safari/537.36 Mozilla/5.0 (Linux; Android 16; Pixel 8 Pro Build/BP2A.250805.005; wv) AppleWebKit/537.36",https://www.originenergy.com.au/my/,0,1,0,1,1
Email,em:kraken:ebill,41,https://www.originenergy.com.au/my,"",em:re:pwdless1112,no,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36",https://www.originenergy.com.au/my/,0,1,0,1,1
Paid Search,Electricity & Gas,10,"","",ps:re:NATBAU:gl,no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",https://www.originenergy.com.au/my/make-payment/A-62414455/success,0,1,0,1,1
Internal,originenergy:pay,10,https://www.originenergy.com.au/pay/select-payment-method,"","",no,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1",https://www.originenergy.com.au/pay/select-payment-method,0,1,0,1,1
Email,em:mar:res:internet:winternet:jul25:22708,23,"","",em:mar:res:internet:winternet:jul25:22708,no,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",https://www.originenergy.com.au/internet/plans/,0,1,0,1,1
Email,em:kr:bz:res:nat:switchonboarding:mar:sf:standardApril24:2144,8,"","","",yes,"Mozilla/5.0 (Linux; Android 15; SM-S918B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/139.0.7258.94 Mobile Safari/537.36 Mozilla/5.0 (Linux; Android 15; SM-S918B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (",https://www.originenergy.com.au/my/payment-settings,0,1,0,1,1
Natural Search,n:Google:::empty::,3,"","","",yes,Mozilla/5.0 (Linux; U; Android 15; en-AU; SM-A556E Build/AP3A.240905.015.A2),"",0,1,0,1,0
Natural Search,n:Google:::empty::,20,https://www.originenergy.com.au/my/reward/coffee/barcode,https://www.google.com/,"",no,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/382.0.794785026 Mobile/15E148 Safari/604.1",https://www.originenergy.com.au/my/reward/coffee/barcode,0,1,0,1,1
Direct,originenergy:for-home:my-account:login,6,"","","",yes,Mozilla/5.0 (Linux; U; Android 15; en-AU; SM-A146P Build/AP3A.240905.015.A2),"",0,1,0,1,0
Origin App,None,5,"","","",yes,"Mozilla/5.0 (Linux; Android 12; moto g51 5G Build/S2RYAS32.58-13-12-5-1-6; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/139.0.7258.94 Mobile Safari/537.36 Mozilla/5.0 (Linux; Android 12; moto g51 5G Build/S2RYAS32.58-13-12-5-1-6; wv) Appl",https://www.originenergy.com.au/my/usage,0,1,0,1,1
Origin App,None,28,https://www.originenergy.com.au/my/make-lpg-payment/success,"","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/make-lpg-payment/success,0,1,0,1,1
Natural Search,n:Google:::empty::,39,"","","",no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",https://www.originenergy.com.au/business/signup/property-details,0,1,0,1,1
Origin App,None,10,"","","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/make-payment/A-FE87C2EE/confirm,0,1,0,1,1
Origin App,www.originenergy.com.au/origin-loop/electric-vehicle-charging/ev-power-up/#important-information,14,https://www.originenergy.com.au/my/service/electricity/4690089/plan,"","",no,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",https://www.originenergy.com.au/my/service/electricity/4690089/plan,0,1,0,1,1
Internal,originenergy:for-home:my-account:login,7,"","","",no,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.7 Mobile/15E148 Safari/604.1",https://www.originenergy.com.au/my/,0,1,0,1,1
Origin App,None,6,https://www.originenergy.com.au/my/make-payment/A-604F0839,"","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/make-payment/A-604F0839,0,1,0,1,1
Origin App,None,11,"","","",yes,"Mozilla/5.0 (Linux; Android 11; Pixel 2 XL Build/RP1A.201005.004.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/139.0.7258.94 Mobile Safari/537.36 Mozilla/5.0 (Linux; Android 11; Pixel 2 XL Build/RP1A.201005.004.A1; wv) AppleWebKit/537.",https://www.originenergy.com.au/my/usage,0,1,0,1,1
Direct,None,18,"","","",no,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",https://www.originenergy.com.au/sign-up,0,1,0,1,1
Origin App,www.originenergy.com.au/my/,11,https://www.originenergy.com.au/my/make-payment/A-A3A6277F/select-payment-method,"","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/make-payment/A-A3A6277F/select-payment-method,0,1,0,1,1
Origin App,None,7,"","","",yes,Mozilla/5.0 (iPhone; CPU OS 18_3_1 like Mac OS X; en-US),"",0,1,0,1,0
Natural Search,n:Google:::empty::,11,"","","",no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",https://www.originenergy.com.au/,0,1,0,1,1
Origin App,None,15,"","","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",https://www.originenergy.com.au/contact/,0,1,0,1,1
Origin App,None,7,https://www.originenergy.com.au/my/make-payment/A-2E30BB63,"","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/make-payment/A-2E30BB63,0,1,0,1,1
Paid Search,Electricity & Gas,2,"","",ps:re:movcorebau:pm,no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",https://id.originenergy.com.au/login,0,1,0,1,1
Paid Search,Internet,4,https://id.originenergy.com.au/login,https://www.bing.com/,ps:re:internetFY25BAU2706:gl,no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0",https://id.originenergy.com.au/login,0,1,0,1,1
Origin App,None,20,https://www.originenergy.com.au/my/payment-extension/A-771ADDAF/select-due-date,"","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/payment-extension/A-771ADDAF/select-due-date,0,1,0,1,1
Origin App,None,23,"","","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/make-payment/A-AB7B65A1/confirm,0,1,0,1,1
Paid Search,Electricity & Gas,27,https://www.originenergy.com.au/contact,https://www.google.com/,ps:re:NATBAU:gl,no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",https://www.originenergy.com.au/contact/,0,1,0,1,1
Direct,None,19,"","","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/make-payment/A-F4D16CC7/confirm,0,1,0,1,1
Origin App,None,24,https://www.originenergy.com.au/my/assistance/debt-and-ongoing/payment-plan,"","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/assistance/debt-and-ongoing/payment-plan,0,1,0,1,1
Origin App,None,9,"","","",yes,"Mozilla/5.0 (Linux; Android 15; A015 Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/139.0.7258.94 Mobile Safari/537.36 Mozilla/5.0 (Linux; Android 15; A015 Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, l",https://www.originenergy.com.au/my/reward/coffee/barcode,0,1,0,1,1
Origin App,None,6,"","","",yes,"Mozilla/5.0 (Linux; Android 13; CPH2387 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.181 Mobile Safari/537.36 Mozilla/5.0 (Linux; Android 13; CPH2387 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML,",https://www.originenergy.com.au/my/,0,1,0,1,1
Natural Search,n:Microsoft Bing:::empty::,8,"",https://www.bing.com/,ps:re:NATBAU:gl,no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",https://www.originenergy.com.au/business/electricity-and-gas-plans,0,1,0,1,1
Origin App,None,8,"","","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/make-payment/A-FA09DD83/confirm,0,1,0,1,1
Natural Search,n:Google:::empty::,84,"",https://www.google.com/,"",no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",https://www.originenergy.com.au/business/pricing.html,0,1,0,1,1
Paid Search,LPG,19,"",https://www.google.com/,ps:re:NATBAU:gl,no,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",https://www.originenergy.com.au/,0,1,0,1,1
Paid Search,Solar,18,"",https://www.google.com/,ps:re:electrify_new0702:pm,no,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",https://www.originenergy.com.au/solar/,0,1,0,1,1
Origin App,None,12,"","","",yes,"Mozilla/5.0 (Linux; Android 15; SM-S911B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/139.0.7258.94 Mobile Safari/537.36 Mozilla/5.0 (Linux; Android 15; SM-S911B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (",https://www.originenergy.com.au/my/service/lpg/1005879181/order/12881904,0,1,0,1,1
Internal,originenergy:pay,1,https://www.originenergy.com.au/pay,"","",no,"Mozilla/5.0 (Linux; Android 12; moto g22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.74 Mobile Safari/537.36",https://www.originenergy.com.au/pay/select-payment-method,0,1,0,1,1
Paid Search,Electricity & Gas,2,"","",ps:re:duelcorebaufy250208:gl,no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",https://www.originenergy.com.au/my/,0,1,0,1,1
Email,em:an:ser:int:ressme:jun.24.0006,16,"","",em:an:ser:int:ressme:jun.24.0006,no,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",https://www.originenergy.com.au/chat/internet/,0,1,0,0,1
Internal,originenergy:404,1133,"","","",no,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",https://www.originenergy.com.au/about/who-we-are/what-we-do/generation/eraring-power-station-archive-image-library/,0,1,0,0,1
Origin App,None,13,"","","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/billing/A-734CD5BA/summary/100376196,0,1,0,1,1
